,token_index,value
2642,4178,60.642525
2643,4179,25.681284
2644,4180,87.93156
2645,4181,145.7519
2646,4182,90.18907
2647,4185,32.094078
2648,4186,50.45676
2649,4187,108.57375
2650,4188,23.897383
2651,4189,81.66211
2652,4190,20.141716
2653,4192,71.19184
2654,4194,90.51926
2655,4195,38.249363
2656,4196,33.420666
2657,4197,79.01568
2658,4198,79.73889
2659,4199,48.587486
2660,4200,30.532925
2661,4201,11.981012
2662,4202,85.57645
2663,4203,21.906624
2664,4204,43.873535
2665,4205,23.181816
2666,4206,42.509464
2667,4208,65.0279
2668,4209,40.500565
2669,4210,96.498795
2670,4211,10.192891
2671,4214,26.914312
2672,4215,23.613607
2673,4216,34.083363
2674,4217,27.1956
2675,4218,57.847042
2676,4219,38.768707
2677,4220,320.95255
2678,4221,18.35212
2679,4222,125.703186
2680,4223,76.7422
2681,4224,30.770004
2682,4225,74.32683
2683,4226,100.24722
2684,4227,70.73605
2685,4228,60.6489
2686,4230,20.409721
2687,4231,56.002598
2688,4233,50.233803
2689,4234,90.49717
2690,4235,108.70789
2691,4236,68.52595
2692,4237,45.97584
2693,4238,38.278816
2694,4239,9.384369
2695,4240,100.06384
2696,4241,42.667286
2697,4242,71.70777
2698,4243,30.964077
2699,4244,13.260191
2700,4246,79.77343
2701,4248,51.37103
2702,4249,22.072618
2703,4250,46.417103
2704,4252,71.36132
2705,4253,50.236153
2706,4256,102.39158
2707,4257,13.208246
2708,4259,12.23172
2709,4261,36.426315
2710,4262,22.83524
2711,4263,86.754265
2712,4264,74.07685
2713,4265,32.745197
2714,4267,42.608425
2715,4270,34.636528
2716,4271,93.421936
2717,4273,77.05878
2718,4274,79.25262
2719,4275,43.768578
2720,4277,32.810947
2721,4278,25.428452
2722,4279,97.22044
2723,4280,19.315495
2724,4282,64.693924
2725,4283,44.41486
2726,4284,112.27668
2727,4285,33.603
2728,4286,50.684723
2729,4287,80.696175
2730,4289,77.48144
2731,4290,101.57729
2732,4291,17.557678
2733,4292,95.48302
2734,4293,44.64209
2735,4294,29.951042
2736,4295,45.07594
2737,4296,41.06306
2738,4297,18.348345
2739,4298,112.31155
2740,4299,74.655
2741,4300,66.3152
2742,4303,27.094662
2743,4305,22.533203
2744,4306,14.609718
2745,4307,19.776243
2746,4309,63.67913
2747,4310,79.22152
2748,4311,19.937109
2749,4312,39.231365
2750,4313,65.801704
2751,4315,15.235349
2752,4317,15.575674
2753,4318,79.0947
2754,4320,106.0515
2755,4322,78.165504
2756,4324,115.23923
2757,4325,47.753372
2758,4326,64.20769
2759,4327,26.972635
2760,4328,20.166357
2761,4329,76.79354
2762,4330,12.571142
2763,4331,37.720974
2764,4332,73.28578
2765,4333,73.98656
2766,4334,17.24784
2767,4335,58.694317
2768,4337,23.234406
2769,4338,38.443203
2770,4340,17.342916
2771,4342,123.883575
2772,4343,9.050188
2773,4346,27.83423
2774,4347,148.64136
2775,4348,16.929668
2776,4352,37.295837
